序号,文件名称,文件编号,成文日期
241,国家税务总局关于简并增值税征收率有关问题的公告,国家税务总局公告2014年第36号,2014/6/27
242,财政部 国家税务总局关于国际水路运输增值税零税率政策的补充通知,财税〔2014〕50号,2014/6/13
243,财政部 国家税务总局关于简并增值税征收率政策的通知,财税〔2014〕57号,2014/6/13
244,财政部 海关总署 国家税务总局关于横琴 平潭开发有关增值税和消费税政策的通知,财税〔2014〕51号,2014/6/11
245,国家税务总局关于成品油经销企业开具的增值税发票纳入防伪税控系统汉字防伪版管理的公告,国家税务总局公告2014年第33号,2014/6/6
246,国家税务总局关于国家电网公司购买分布式光伏发电项目电力产品发票开具等有关问题的公告,国家税务总局公告2014年第32号,2014/6/3
247,国家税务总局关于调整机动车销售统一发票票面内容的公告,国家税务总局公告2014年第27号,2014/5/16
248,国家税务总局关于发布《电信企业增值税征收管理暂行办法》的公告,国家税务总局公告2014年第26号,2014/5/14
249,财政部 海关总署 国家税务总局关于租赁企业进口飞机有关税收政策的通知,财关税〔2014〕16号,2014/5/13
250,财政部 国家税务总局关于免征储备大豆增值税政策的通知,财税〔2014〕38号,2014/5/8
251,财政部 国家税务总局关于将电信业纳入营业税改征增值税试点的通知,财税〔2014〕43号,2014/4/29
252,财政部 海关总署 国家税务总局关于调整享受税收优惠政策的天然气进口项目的通知,财关税〔2014〕8号,2014/4/21
253,国家税务总局关于杏仁油 葡萄籽油增值税适用税率问题的公告,国家税务总局公告2014年第22号,2014/4/11
254,财政部 海关总署 国家税务总局关于种子（苗）种畜（禽）鱼种（苗）和种用野生动植物种源2014年免税进口计划的通知,财关税〔2014〕3号〔2014〕3号,2014/3/28
255,国家税务总局关于简化增值税发票领用和使用程序有关问题的公告,国家税务总局公告2014年第19号,2014/3/24
256,国家税务总局关于发布增值税发票税控开票软件数据接口规范的公告,国家税务总局公告2014年第17号,2014/3/14
257,国家税务总局关于农用挖掘机 养鸡设备系列养猪设备系列产品增值税适用税率问题的公告,国家税务总局公告2014年第12号,2014/2/27
258,财政部 国家税务局关于利用石脑油和燃料油生产乙烯芳烃类产品有关增值税政策的通知,财税〔2014〕17号,2014/2/17
259,财政部 国家税务总局关于大型水电企业增值税政策的通知,财税〔2014〕10号,2014/2/12
260,国家税务总局关于发布《适用增值税零税率应税服务退（免）税管理办法》的公告,国家税务总局公告2014年第11号,2014/2/8
261,国家税务总局关于铁路运输和邮政业营业税改征增值税后纳税申报有关事项的公告,国家税务总局公告2014年第7号,2014/1/21
262,国家税务总局关于发布《邮政企业增值税征收管理暂行办法》的公告,国家税务总局公告2014年第5号,2014/1/20
263,国家税务总局关于发布《铁路运输企业增值税征收管理暂行办法》的公告,国家税务总局公告2014年第6号,2014/1/20
264,财政部 国家税务总局关于科技企业孵化器税收政策的通知,财税〔2013〕117号,2013/12/31
265,财政部 国家税务总局关于国家大学科技园税收政策的通知,财税〔2013〕118号,2013/12/31
266,财政部 国家税务总局关于铁路运输和邮政业营业税改征增值税试点有关政策的补充通知,财税〔2013〕121号,2013/12/30
267,财政部 国家税务总局关于铁路运输企业汇总缴纳增值税的通知,财税〔2013〕111号,2013/12/30
268,财政部 国家税务总局关于防范税收风险若干增值税政策的通知,财税〔2013〕112号,2013/12/27
269,国家税务总局关于成品油生产企业开具的增值税发票纳入防伪税控系统汉字防伪项目管理的公告,国家税务总局公告2013年第79号,2013/12/27
270,财政部 国家税务总局 中国人民银行关于铁路运输和邮政业纳入营业税改征增值税试点有关预算管理问题的通知,财预〔2013〕442号,2013/12/25
271,财政部 国家税务总局关于延续宣传文化增值税和营业税优惠政策的通知,财税〔2013〕87号,2013/12/25
272,国家税务总局关于中国科技资料进出口总公司迁移后享受增值税优惠政策问题的通知,税总函〔2013〕731号,2013/12/24
273,国家税务总局关于铁路运输和邮政业营业税改征增值税发票及税控系统使用问题的公告,国家税务总局公告2013年第76号,2013/12/18
274,国家税务总局关于营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告,国家税务总局公告2013年第75号,2013/12/16
275,国家税务总局关于促进残疾人就业增值税优惠政策有关问题的公告,国家税务总局公告2013年第73号,2013/12/13
276,财政部 国家税务总局关于将铁路运输和邮政业纳入营业税改征增值税试点的通知,财税〔2013〕106号,2013/12/12
277,国家税务总局关于做好铁路运输和邮政服务业营业税改征增值税试点工作的通知,税总发〔2013〕125号,2013/12/9
278,国家税务总局关于动物骨粒适用增值税税率的公告,国家税务总局公告2013年第71号,2013/12/3
279,国家税务总局关于纳税人无偿赠送煤矸石征收增值税问题的公告,国家税务总局公告2013年第70号,2013/12/3
280,国家税务总局关于发布《航空运输企业增值税征收管理暂行办法》的公告,国家税务总局公告2013年第68号,2013/11/28
281,财政部 国家税务总局关于动漫产业增值税和营业税政策的通知,财税〔2013〕98号,2013/11/28
282,国家税务总局关于输水管道有关增值税问题的批复,税总函〔2013〕642号,2013/11/25
283,国家税务总局关于纳税人资产重组有关增值税问题的公告,国家税务总局公告2013年第66号,2013/11/19
284,国家税务总局关于出口货物劳务增值税和消费税有关问题的公告,国家税务总局公告2013年第65号,2013/11/13
285,国家税务总局关于营业税改征增值税试点有关文化事业建设费登记与申报事项的公告,国家税务总局公告2013年第64号,2013/11/11
286,财政部 国家税务总局关于部分航空运输企业总分机构增值税计算缴纳问题的通知,财税〔2013〕86号,2013/10/24
287,财政部 国家税务总局关于重新印发《总分机构试点纳税人增值税计算缴纳暂行办法》的通知,财税〔2013〕74号,2013/10/24
288,财政部 海关总署 国家税务总局关于支持芦山地震灾后恢复重建有关税收政策问题的通知,财税〔2013〕58号,2013/9/30
289,财政部 国家税务总局关于光伏发电增值税政策的通知,财税〔2013〕66号,2013/9/23
290,国家税务总局关于发布《营业税改征增值税跨境应税服务增值税免税管理办法（试行）》的公告,国家税务总局公告2013年第52号,2013/9/13
291,财政部 国家税务总局关于中国邮政储蓄银行改制上市有关税收政策的通知,财税〔2013〕53号,2013/9/12
292,国家税务总局关于增值税普通发票印制供应有关事项的公告,国家税务总局公告2013年第51号,2013/9/9
293,财政部 国家税务总局关于营业税改征增值税试点有关文化事业建设费征收管理问题的通知,财综〔2013〕88号,2013/8/29
294,财政部 国家税务总局关于调整进口飞机有关增值税政策的通知,财关税〔2013〕53号,2013/8/29
295,财政部 国家税务总局关于扩大农产品增值税进项税额核定扣除试点行业范围的通知,财税〔2013〕57号,2013/8/28
296,国家税务总局关于公布符合条件的销售熊猫普制金币纳税人名单（第二批）的公告,国家税务总局公告2013年第48号,2013/8/21
297,国家税务总局关于暂免征收部分小微企业增值税和营业税政策有关问题的公告,国家税务总局公告2013年第49号,2013/8/21
298,国家税务总局关于中国石油天然气股份有限公司进口天然气2012年度取得增值税返还款涉及企业所得税纳税地点问题的通知,税总函〔2013〕459号,2013/8/12
299,国家税务总局关于精料补充料免征增值税问题的公告,国家税务总局公告2013年第46号,2013/8/7
300,国家税务总局关于发布《适用增值税零税率应税服务退（免）税管理办法（暂行）》的公告,国家税务总局公告2013年第47号,2013/8/7
301,财政部 国家税务总局关于停止执行民航国际航班使用进口保税航空燃油政策的通知,财税〔2013〕42号,2013/7/29
302,财政部 国家税务总局关于暂免征收部分小微企业增值税和营业税的通知,财税〔2013〕52号,2013/7/29
303,国家税务总局关于在全国开展营业税改征增值税试点有关征收管理问题的公告,国家税务总局公告2013年第39号,2013/7/10
304,财政部 中国人民银行 国家税务总局关于营业税改征增值税试点有关预算管理问题的通知,财预〔2013〕275号,2013/6/28
305,国家税务总局关于营业税改征增值税试点中文化事业建设费征收有关事项的公告,国家税务总局公告2013年第35号,2013/6/28
306,国家税务总局关于增值税一般纳税人资格认定有关事项的公告,国家税务总局公告2013年第33号,2013/6/21
307,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2013年第32号,2013/6/19
308,国家税务总局 海关总署关于实行海关进口增值税专用缴款书“先比对后抵扣”管理办法有关问题的公告,国家税务总局 海关总署公告2013年第31号,2013/6/14
309,国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告,国家税务总局公告2013年第28号,2013/5/31
310,国家税务总局关于油气田企业开发煤层气 页岩气增值税有关问题的公告,国家税务总局公告2013年第27号,2013/5/30
311,财政部 国家税务总局关于在全国开展交通运输业和部分现代服务业营业税改征增值税试点税收政策的通知,财税〔2013〕37号,2013/5/24
312,国家税务总局关于营业税改征增值税总分机构试点纳税人增值税纳税申报有关事项的公告,国家税务总局公告2013年第22号,2013/5/7
313,国家税务总局关于旅店业和饮食业纳税人销售非现场消费食品增值税有关问题的公告,国家税务总局公告2013年第17号,2013/4/22
314,财政部 国家税务总局关于成都双流等3个机场民航国际航班使用保税航空燃油有关税收政策的通知,财税〔2013〕1号,2013/4/2
315,财政部 国家税务总局关于享受资源综合利用增值税优惠政策的纳税人执行污染物排放标准有关问题的通知,财税〔2013〕23号,2013/4/1
316,国家税务总局关于金融机构销售贵金属增值税有关问题的公告,国家税务总局公告2013年第13号,2013/3/15
317,国家税务总局关于《出口货物劳务增值税和消费税管理办法》有关问题的公告,国家税务总局公告2013年第12号,2013/3/13
318,国家税务总局关于承印境外图书增值税适用税率问题的公告,国家税务总局公告2013年第10号,2013/2/22
319,国家税务总局关于发布《营业税改征增值税试点期间航空运输企业增值税征收管理暂行办法》的公告,国家税务总局公告2013年第7号,2013/2/6
320,国家税务总局关于纳税人采取“公司+农户”经营模式销售畜禽有关增值税问题的公告,国家税务总局公告2013年第8号,2013/2/6
321,国家税务总局关于发布《熊猫普制金币免征增值税管理办法（试行）》的公告,国家税务总局公告2013年第6号,2013/2/5
322,财政部 海关总署 国家税务总局关于第二届夏季青年奥林匹克运动会等三项国际综合运动会税收政策的通知,财税〔2013〕11号,2013/1/22
323,国家税务总局关于直销企业增值税销售额确定有关问题的公告,国家税务总局公告2013年第5号,2013/1/17
324,财政部 国家税务总局关于部分航空公司执行总分机构试点纳税人增值税计算缴纳暂行办法的通知,财税〔2013〕9号,2013/1/14
325,国家税务总局关于中央财政补贴增值税有关问题的公告,国家税务总局公告2013年第3号,2013/1/8
326,财政部 国家税务总局关于印发《总分支机构试点纳税人增值税计算缴纳暂行办法》的通知,财税〔2012〕84号,2012/12/31
327,财政部 国家税务总局关于熊猫普制金币免征增值税政策的通知,财税〔2012〕97号,2012/12/28
328,国家税务总局关于纳税人资产重组增值税留抵税额处理有关问题的公告,国家税务总局公告2012年第55号,2012/12/13
329,国家税务总局关于硝基复合肥有关增值税问题的公告,国家税务总局公告2012年第52号,2012/12/7
330,国家税务总局关于营业税改征增值税试点文化事业建设费申报有关事项的公告,国家税务总局公告2012年第51号,2012/12/4
331,国家税务总局关于营业税改征增值税试点文化事业建设费缴费信息登记有关事项的公告,国家税务总局公告2012年第50号,2012/12/4
332,财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点应税服务范围等若干税收政策的补充通知,财税〔2012〕86号,2012/12/4
333,关于营业税改征增值税试点中文化事业建设费征收有关问题的补充通知,财综〔2012〕96号,2012/12/3
334,财政部 国家税务总局关于免征部分鲜活肉蛋产品流通环节增值税政策的通知,财税〔2012〕75号,2012/9/27
335,关于营业税改征增值税试点中文化事业建设费征收有关问题的通知,财综〔2012〕68号,2012/8/29
336,国家税务总局关于北京等8省市营业税改征增值税试点增值税纳税申报有关事项的公告,国家税务总局公告2012年第43号,2012/8/27
337,国家税务总局关于北京等8省市营业税改征增值税试点有关税收征收管理问题的公告,国家税务总局公告2012年第42号,2012/8/24
338,财政部 中国人民银行 国家税务总局关于营业税改征增值税试点有关预算管理问题的通知,财预〔2012〕367号,2012/8/17
339,国家税务总局关于北京等8省市营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告,国家税务总局公告2012年第38号,2012/8/10
340,财政部 国家税务总局关于在北京等8省市开展交通运输业和部分现代服务业营业税改征增值税试点的通知,财税〔2012〕71号,2012/7/31
341,国家税务总局关于在部分行业试行农产品增值税进项税额核定扣除办法有关问题的公告,国家税务总局公告2012年第35号,2012/7/17
342,国家税务总局关于纳税人虚开增值税专用发票征补税款问题的公告,国家税务总局公告2012年第33号,2012/7/9
343,国家税务总局关于中国东方航空股份有限公司增值税计算缴纳有关问题的公告,国家税务总局公告2012年第32号,2012/7/3
344,财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点若干税收政策的补充通知,财税〔2012〕53号,2012/6/29
345,国家税务总局关于卷帘机适用增值税税率问题的公告,国家税务总局公告2012年第29号,2012/6/29
346,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2012年第31号,2012/6/29
347,国家税务总局关于发布《出口货物劳务增值税和消费税管理办法》的公告,国家税务总局公告2012年第24号,2012/6/14
348,国家税务总局关于外贸企业使用增值税专用发票办理出口退税有关问题的公告,国家税务总局公告2012年第22号,2012/6/1
349,国家税务总局关于二手车经营业务有关增值税问题的公告,国家税务总局公告2012年第23号,2012/6/1
350,国家税务总局关于药品经营企业销售生物制品有关增值税问题的公告,国家税务总局公告2012年第20号,2012/5/28
351,财政部 国家税务总局关于出口货物劳务增值税和消费税政策的通知,财税〔2012〕39号,2012/5/25
352,国家税务总局关于外贸企业出口视同内销货物进项税额抵扣有关问题的公告,国家税务总局公告2012年第21号,2012/5/25
353,财政部 国家税务总局关于支持农村饮水安全工程建设运营税收政策的通知,财税〔2012〕30号,2012/4/24
354,财政部 海关总署 国家税务总局关于进一步扶持新型显示器件产业发展有关税收优惠政策的通知,财关税〔2012〕16号,2012/4/9
355,财政部 国家税务总局关于在部分行业试行农产品增值税进项税额核定扣除办法的通知,财税〔2012〕38号,2012/4/6
356,国家税务总局关于发布《营业税改征增值税试点地区适用增值税零税率应税服务免抵退税管理办法（暂行）》的公告,国家税务总局公告2012年第13号,2012/4/5
357,国家税务总局关于部分玉米深加工产品增值税税率问题的公告,国家税务总局公告2012年第11号,2012/3/27
358,国家税务总局关于部分产品增值税适用税率问题的公告,国家税务总局公告2012年第10号,2012/3/16
359,财政部 国家税务总局关于增值税税控系统专用设备和技术维护费用抵减增值税税额有关政策的通知,财税〔2012〕15号,2012/2/7
360,财政部 国家税务总局关于固定业户总分支机构增值税汇总纳税有关政策的通知,财税〔2012〕9号,2012/1/16
361,国家税务总局关于一般纳税人销售自己使用过的固定资产增值税有关问题的公告,国家税务总局公告2012年第1号,2012/1/6
362,财政部 国家税务总局关于免征蔬菜流通环节增值税有关问题的通知,财税〔2011〕137号,2011/12/31
363,财政部 国家税务总局关于交通运输业和部分现代服务业营业税改征增值税试点若干税收政策的通知,财税〔2011〕133号,2011/12/29
364,财政部 国家税务总局关于应税服务适用增值税零税率和免税政策的通知,财税〔2011〕131号,2011/12/29
365,国家税务总局关于未按期申报抵扣增值税扣税凭证有关问题的公告,国家税务总局公告2011年第78号,2011/12/29
366,财政部 国家税务总局关于重庆江北等5家机场民航国际航班使用进口保税航空燃油有关税收政策的通知,财税〔2011〕123号,2011/12/28
367,财政部 国家税务总局关于扶持动漫产业发展增值税 营业税政策的通知,财税〔2011〕119号,2011/12/27
368,国家税务总局关于启用货物运输业增值税专用发票的公告,国家税务总局公告2011年第74号,2011/12/15
369,财政部 国家税务总局关于继续免征国产抗艾滋病病毒药品增值税的通知,财税〔2011〕128号,2011/12/14
370,国家税务总局关于一般纳税人迁移有关增值税问题的公告,国家税务总局公告2011年第71号,2011/12/9
371,财政部 国家税务总局关于中国邮政集团公司邮政速递物流业务重组改制有关税收问题的通知,财税〔2011〕116号,2011/12/8
372,财政部 国家税务总局关于继续执行宣传文化增值税和营业税优惠政策的通知,财税〔2011〕92号,2011/12/7
373,财政部 国家税务总局关于继续执行边销茶增值税政策的通知,财税〔2011〕89号,2011/12/7
374,国家税务总局关于上海市营业税改征增值税试点增值税一般纳税人资格认定有关事项的公告,国家税务总局公告2011年第65号,2011/12/2
375,国家税务总局关于调整增值税纳税申报有关事项的公告,国家税务总局公告2011年第66号,2011/12/2
376,国家税务总局关于纳税人既享受增值税即征即退 先征后退政策又享受免抵退税政策有关问题的公告,国家税务总局公告2011年第69号,2011/12/1
377,财政部 海关总署 国家税务总局关于“十二五”期间第一批享受进口税收优惠政策的中资“方便旗”船舶清单的通知,财关税〔2011〕78号,2011/11/30
378,国家税务总局关于旅店业和饮食业纳税人销售食品有关税收问题的公告,国家税务总局公告2011年第62号,2011/11/24
379,财政部 海关总 国家税务总局关于印发《“十二五”期间进口种子种源免税政策管理办法》的通知,财关税〔2011〕76号,2011/11/23
380,财政部 国家税务总局关于调整完善资源综合利用产品及劳务增值税政策的通知,财税〔2011〕115号,2011/11/21
381,国家税务总局关于安置残疾人单位是否可以同时享受多项增值税优惠政策问题的公告,国家税务总局公告2011年第61号,2011/11/18
382,财政部 国家税务总局关于印发《营业税改征增值税试点方案》的通知,财税〔2011〕110号,2011/11/16
383,财政部 国家税务总局关于在上海市开展交通运输业和部分现代服务业营业税改征增值税试点的通知,财税〔2011〕111号,2011/11/16
384,财政部 商务部 海关总署 国家税务总局关于来料加工企业转型为法人企业进口设备税收政策有关问题的通知,财关税〔2011〕66号,2011/11/14
385,国家税务总局关于调整增值税即征即退优惠政策管理措施有关问题的公告,国家税务总局公告2011年第60号,2011/11/14
386,财政部 国家税务总局关于退还集成电路企业采购设备增值税期末留抵税额的通知,财税〔2011〕107号,2011/11/14
387,财政部 国家税务总局关于软件产品增值税政策的通知,财税〔2011〕100号,2011/10/13
388,财政部 商务部 海关总署 国家税务总局关于继续执行研发机构采购设备税收政策的通知,财税〔2011〕88号,2011/10/10
389,国家税务总局关于废止逾期增值税扣税凭证一律不得抵扣规定的公告,国家税务总局公告2011年第49号,2011/9/14
390,国家税务总局关于逾期增值税扣税凭证抵扣问题的公告,国家税务总局公告2011年第50号,2011/9/14
391,国家税务总局关于做好增值税防伪税控系统汉字防伪项目试运行工作有关问题的通知,国税函〔2011〕470号,2011/8/25
392,国家税务总局关于纳税人转让土地使用权或者销售不动产同时一并销售附着于土地或者不动产上的固定资产有关税收问题的公告,国家税务总局公告2011年第47号,2011/8/17
393,财政部 海关总署 国家税务总局关于“十二五”期间在我国陆上特定地区开采石油（天然气）进口物资税收政策的通知,财关税〔2011〕31号,2011/8/8
394,财政部 海关总署 国家税务总局关于“十二五”期间在我国海洋开采石油（天然气）进口物资免征进口税收的通知,财关税〔2011〕32号,2011/8/8
395,财政部 海关总署 国家税务总局关于对2011-2020年期间进口天然气及2010年底前“中亚气”项目进口天然气按比例返还进口环节增值税有关问题的通知,财关税〔2011〕39号,2011/8/1
396,国家税务总局关于环氧大豆油氢化植物油增值税适用税率问题的公告,国家税务总局公告2011年第43号,2011/7/25
397,国家税务总局关于增值税纳税义务发生时间有关问题的公告,国家税务总局公告2011年第40号,2011/7/15
398,国家税务总局关于部分液体乳增值税适用税率的公告,国家税务总局公告2011年第38号,2011/7/6
399,国家税务总局关于花椒油增值税适用税率问题的公告,国家税务总局公告2011年第33号,2011/6/2
400,国家税务总局关于纳税人无偿赠送粉煤灰征收增值税问题的公告,国家税务总局公告2011年第32号,2011/5/19
401,国家税务总局关于云南盈江地震灾后增值税一般纳税人增值税扣税凭证认证稽核有关问题的批复,国税函〔2011〕266号,2011/5/13
402,财政部 国家税务总局关于暂停部分玉米深加工企业购进玉米增值税抵扣政策的通知,财税〔2011〕34号,2011/4/19
403,国家税务总局关于纳税人销售自产货物并同时提供建筑业劳务有关税收问题的公告,国家税务总局公告2011年第23号,2011/3/25
404,国家税务总局关于增值税防伪税控系统汉字防伪项目试运行有关问题的通知,国税发〔2011〕44号,2011/3/23
405,国家税务总局关于皂脚适用增值税税率问题的公告,国家税务总局公告2011年第20号,2011/3/16
406,财政部 国家税务总局关于中国联合网络通信集团有限公司转让CDMA网及其用户资产企业合并资产整合过程中涉及的增值税营业税 印花税和土地增值税政策问题的通知,财税〔2011〕13号,2011/3/10
407,财政部 国家税务总局关于收购烟叶支付的价外补贴进项税额抵扣问题的通知,财税〔2011〕21号,2011/3/2
408,国家税务总局关于下发出口商品退税率文库20110201A版的通知,国税函〔2011〕117号,2011/2/28
409,国家税务总局关于增值税普通发票印制公开招标后有关问题的通知,国税函〔2011〕100号,2011/2/21
410,国家税务总局关于纳税人资产重组有关增值税问题的公告,国家税务总局公告2011年第13号,2011/2/18
411,国家税务总局关于纳税人销售伴生金有关增值税问题的公告,国家税务总局公告2011年第8号,2011/1/24
412,财政部 海关总署 国家税务总局关于支持舟曲灾后恢复重建有关税收政策问题的通知,财税〔2010〕107号,2010/12/29
413,财政部 海关总署 国家税务总局关于营运支线航线的国内航空公司维修用航空器材进口税收问题的通知,财关税〔2010〕58号,2010/12/9
414,财政部 国家税务总局关于上海期货交易所开展期货保税交割业务有关增值税问题的通知,财税〔2010〕108号,2010/12/2
415,国家税务总局关于做好增值税防伪税控开票系统升级工作的通知,国税函〔2010〕585号,2010/11/29
416,财政部 国家税务总局关于对外资企业征收城市维护建设税和教育费附加有关问题的通知,财税〔2010〕103号,2010/11/4
417,国家税务总局关于制种行业增值税有关问题的公告,国家税务总局公告2010年第17号,2010/10/25
418,财政部 工业和信息化部 海关总署 国家税务总局关于调整大型环保及资源综合利用设备等重大技术装备进口税收政策的通知,财关税〔2010〕50号,2010/9/30
419,国家税务总局关于干姜 姜黄增值税适用税率问题的公告,国家税务总局公告2010年第9号,2010/8/19
420,财政部 国家税务总局关于上海世博会台湾馆和台北城市最佳实验区项目享受增值税退税政策的通知,财税〔2010〕73号,2010/8/13
421,国家税务总局关于项目运营方利用信托资金融资过程中增值税进项税额抵扣问题的公告,国家税务总局公告2010年第8号,2010/8/9
422,国家税务总局关于肉桂油 桉油 香茅油增值税适用税率问题的公告,国家税务总局公告2010年第5号,2010/7/27
423,国家税务总局关于停止海关代征进口产品增值税信息录入工作的通知,国税函〔2010〕195号,2010/5/12
424,国家税务总局关于橄榄油适用税率问题的批复,国税函〔2010〕144号,2010/4/8
425,国家税务总局关于明确《增值税一般纳税人资格认定管理办法》若干条款处理意见的通知,国税函〔2010〕139号,2010/4/7
426,国家税务总局关于《增值税一般纳税人资格认定管理办法》政策衔接有关问题的通知,国税函〔2010〕137号,2010/4/7
427,国家税务总局关于印发《增值税一般纳税人资格认定管理办法》宣传材料的通知,国税函〔2010〕138号,2010/4/7
428,国家税务总局关于印发《增值税一般纳税人纳税辅导期管理办法》的通知,国税发〔2010〕40号,2010/4/7
429,国家税务总局关于新认定增值税一般纳税人使用增值税防伪税控系统有关问题的通知,国税函〔2010〕126号,2010/3/31
430,国家税务总局关于人工合成牛胚胎适用增值税税率问题的通知,国税函〔2010〕97号,2010/3/4
431,国家税务总局关于粕类产品征免增值税问题的通知,国税函〔2010〕75号,2010/2/20
432,增值税一般纳税人资格认定管理办法,国家税务总局令第22号,2010/2/10
433,国家税务总局关于折扣额抵减增值税应税销售额问题通知,国税函〔2010〕56号,2010/2/8
434,国家税务总局关于办理2009年销售额超过标准的小规模纳税人申请增值税一般纳税人认定问题的通知,国税函〔2010〕35号,2010/1/25
435,财政部 国家税务总局关于资源综合利用及其他产品增值税政策的补充的通知,财税〔2009〕163号,2009/12/29
436,财政部 国家税务总局关于发布部分到期停止执行税收规范性文件的通知,财税〔2009〕138号,2009/12/7
437,国家税务总局关于供电企业收取并网服务费征收增值税问题的批复,国税函〔2009〕641号,2009/11/19
438,财政部 海关总署 国家税务总局关于外国政府贷款和国际金融组织贷款项目进口设备增值税政策的通知,财关税〔2009〕63号,2009/11/16
439,国家税务总局关于调整增值税扣税凭证抵扣期限有关问题的通知,国税函〔2009〕617号,2009/11/9
440,国家税务总局关于人发适用增值税税率问题的批复,国税函〔2009〕625号,2009/10/28
441,国家税务总局关于农村电网维护费征免增值税问题的通知,国税函〔2009〕591号,2009/10/23
442,财政部 国家税务总局关于再生资源增值税退税政策若干问题的通知,财税〔2009〕119号,2009/9/29
443,财政部 国家税务总局关于免征进口粗铜含金部分进口环节增值税的通知,财关税〔2009〕60号,2009/9/28
444,财政部 国家税务总局关于固定资产进项税额抵扣问题的通知,财税〔2009〕113号,2009/9/9
445,财政部 海关总署 国家税务总局关于国内采购材料进入海关特殊监管区域适用退税政策的通知,财税〔2009〕107号,2009/9/3
446,国家税务总局关于供应非临床用血增值税政策问题的批复,国税函〔2009〕456号,2009/8/24
447,国家税务总局关于复合胶适用增值税税率问题的批复,国税函〔2009〕453号,2009/8/21
448,国家税务总局关于核桃油适用税率问题的批复,国税函〔2009〕455号,2009/8/21
449,国家税务总局关于氨化硝酸钙免征增值税问题的批复,国税函〔2009〕430号,2009/8/13
450,财政部 海关总署 国家税务总局关于第16届亚洲运动会等三项国际综合运动会税收政策的通知,财税〔2009〕94号,2009/8/10
451,财政部 国家税务总局关于扶持动漫产业发展有关税收政策问题的通知,财税〔2009〕65号,2009/7/17
452,财政部关于来料加工装配厂转型为法人企业进口设备税收问题的通知,财关税〔2009〕48号,2009/7/16
453,财政部 国家税务总局关于油气田企业增值税问题的补充通知,财税〔2009〕97号,2009/7/9
454,国家税务总局关于部分饲料产品征免增值税政策问题的批复,国税函〔2009〕324号,2009/6/15
455,国家税务总局关于加强税种征管促进堵漏增收的若干意见,国税发〔2009〕85号,2009/4/29
456,国家税务总局关于麦芽适用税率问题的批复,国税函〔2009〕177号,2009/4/7
457,国家税务总局关于进口免税设备解除海关监管补缴进口环节增值税抵扣问题的批复,国税函〔2009〕158号,2009/3/30
458,财政部 海关总署 国家税务总局关于支持文化企业发展若干税收政策问题的通知,财税〔2009〕31号,2009/3/27
459,国家税务总局关于停止执行中国远洋运输（集团）总公司增值税优惠政策的通知,国税函〔2009〕100号,2009/3/4
460,财政部 国家税务总局关于公布若干废止和失效的增值税规范性文件目录的通知,财税〔2009〕17号,2009/2/26
461,国家税务总局关于增值税简易征收政策有关管理问题的通知,国税函〔2009〕90号,2009/2/25
462,财政部 国家税务总局关于继续执行供热企业增值税 房产税 城镇土地使用税优惠政策的通知,财税〔2009〕11号,2009/2/10
463,国家税务总局关于修改若干增值税规范性文件引用法规规章条款依据的通知,国税发〔2009〕10号,2009/2/5
464,国家税务总局关于发布已失效或废止有关增值税规范性文件清单的通知,国税发〔2009〕7号,2009/2/2
465,国家税务总局关于推行机动车销售统一发票稽核系统的通知,国税函〔2009〕54号,2009/2/2
466,非居民承包工程作业和提供劳务税收管理暂行办法,国家税务总局令第19号,2009/1/20
467,财政部 国家税务总局关于部分货物适用增值税低税率和简易办法征收增值税政策的通知,财税〔2009〕9号,2009/1/19
468,财政部 国家税务总局关于印发《油气田企业增值税管理办法》的通知,财税〔2009〕8号,2009/1/19
469,国家税务总局关于废旧物资发票抵扣增值税有关事项的公告,国家税务总局公告2008年第1号,2008/12/31
470,国家税务总局关于调整增值税一般纳税人纳税申报“一窗式”管理操作规程有关事项的通知,国税函〔2008〕1074号,2008/12/30
471,国家税务总局关于调整增值税纳税申报有关事项的通知,国税函〔2008〕1075号,2008/12/30
472,财政部 国家税务总局关于停止外商投资企业购买国产设备退税政策的通知,财税〔2008〕176号,2008/12/25
473,财政部 国家税务总局关于全国实施增值税转型改革若干问题的通知,财税〔2008〕170号,2008/12/19
474,财政部 国家税务总局关于金属矿、非金属矿采选产品增值税税率的通知,财税〔2008〕171号,2008/12/19
475,文化部 财政部 国家税务总局关于印发《动漫企业认定管理办法（试行）》的通知,文市发〔2008〕51号,2008/12/18
476,国家税务总局关于推行机动车销售统一发票税控系统有关工作的紧急通知,国税发〔2008〕117号,2008/12/15
477,财政部 国家税务总局关于再生资源增值税政策的通知,财税〔2008〕157号,2008/12/9
478,国家税务总局关于挂面适用增值税税率问题的通知,国税函〔2008〕1007号,2008/12/8
479,财政部 海关总署 国家税务总局关于支持汶川地震灾后恢复重建有关税收政策问题的通知,财税〔2008〕104号,2008/8/1
