序号,文件名称,文件编号,成文日期
236,国家税务总局关于明确单位或个人为纳税义务人的劳务报酬所得代付税款计算公式对应税率表的通知,国税发〔2000〕192号,2000/11/24
237,财政部 国家税务总局关于对老年服务机构有关税收政策问题的通知,财税〔2000〕97号,2000/11/24
238,财政部 国家税务总局关于随军家属就业有关税收政策的通知,财税〔2000〕84号,2000/9/27
239,财政部 国家税务总局关于印发《关于个人独资企业和合伙企业投资者征收个人所得税的规定》的通知,财税〔2000〕91号,2000/9/19
240,国家税务总局关于“长江小小科学家”奖金免征个人所得税的通知,国税函〔2000〕688号,2000/9/4
241,国家税务总局关于律师事务所从业人员取得收入征收个人所得税有关业务问题的通知,国税发〔2000〕149号,2000/8/23
242,财政部 国家税务总局关于对青少年活动场所、电子游戏厅有关所得税和营业税政策问题的通知,财税〔2000〕21号,2000/7/18
243,国家税务总局关于国有企业职工因解除劳动合同取得一次性补偿收入征免个人所得税问题的通知,国税发〔2000〕77号,2000/5/8
244,国家税务总局关于个人取得专利赔偿所得征收个人所得税问题的批复,国税函〔2000〕257号,2000/4/24
245,国家税务总局关于企业改组改制过程中个人取得的量化资产征收个人所得税问题的通知,国税发〔2000〕60号,2000/3/29
246,国家税务总局关于《国家税务总局关于外籍个人和港澳台居民个人储蓄存款利息所得个人所得税有关问题的通知》的补充通知,国税发〔2000〕31号,2000/2/17
247,国家税务总局关于个人所得税有关问题的批复,国税函〔2000〕57号,2000/1/18
248,国家税务总局关于外籍个人储蓄存款利息所得个人所得税有关问题的通知,国税发〔1999〕245号,1999/12/24
249,财政部 国家税务总局 建设部关于个人出售住房所得征收个人所得税有关问题的通知,财税字〔1999〕278号,1999/12/2
250,国家税务总局关于中国铁路建设债券利息征收个人所得税问题的批复,国税函〔1999〕738号,1999/11/11
251,国家税务总局关于外籍个人和港澳台居民个人储蓄存款利息所得个人所得税有关问题的通知,国税发〔1999〕201号,1999/10/25
252,国家税务总局关于加强个人股东账户资金利息所得个人所得税征收管理工作的通知,国税函〔1999〕697号,1999/10/25
253,国家税务总局关于《储蓄存款利息所得扣缴个人所得税报告表》中有关问题的通知,国税函〔1999〕699号,1999/10/25
254,国家税务总局关于远洋运输船员工资薪金所得个人所得税费用扣除问题的通知,国税发〔1999〕202号,1999/10/25
255,国家税务总局关于储蓄存款利息所得个人所得税外币税款有关问题的通知,国税函〔1999〕698号,1999/10/25
256,国家税务总局关于储蓄存款利息所得征收个人所得税若干业务问题的通知,国税发〔1999〕180号,1999/10/8
257,财政部 国家税务总局关于住房公积金医疗保险金、基本养老保险金、失业保险基金个人账户存款利息所得免征个人所得税的通知,财税字〔1999〕267号,1999/10/8
258,国家税务总局关于印发《储蓄存款利息所得个人所得税征收管理办法》的通知,国税发〔1999〕179号,1999/10/8
259,国家税务总局关于做好储蓄存款利息所得个人所得税代扣代缴义务人登记工作的紧急通知,国税发〔1999〕188号,1999/10/8
260,对储蓄存款利息所得征收个人所得税的实施办法,国务院令第272号,1999/9/30
261,国家税务总局关于纠正在征收利息、股息、红利所得个人所得税时扣除同期银行储蓄存款利息做法的通知,国税发〔1999〕181号,1999/9/28
262,国家税务总局关于个人因解除劳动合同取得经济补偿金征收个人所得税问题的通知,国税发〔1999〕178号,1999/9/23
263,国家税务总局关于股民从证券公司取得的回扣收入征收个人所得税问题的批复,国税函〔1999〕627号,1999/9/20
264,国家税务总局关于“特聘教授奖金”免征个人所得税的通知,国税函〔1999〕525号,1999/8/3
265,国家税务总局关于促进科技成果转化有关个人所得税问题的通知,国税发〔1999〕125号,1999/7/1
266,国家税务总局关于生猪生产流通过程中有关税收问题的通知,国税发〔1999〕113号,1999/6/9
267,财政部 国家税务总局关于促进科技成果转化有关税收政策的通知,财税字〔1999〕45号,1999/5/27
268,国家税务总局关于明确残疾人所得征免个人所得税范围的批复,国税函〔1999〕329号,1999/5/21
269,国家税务总局关于外国企业的董事在中国境内兼任职务有关税收问题的通知,国税函〔1999〕284号,1999/5/17
270,国家税务总局关于个人所得税有关政策问题的通知,国税发〔1999〕58号,1999/4/9
271,国家税务总局关于社会力量办学征收个人所得税问题的批复,国税函〔1998〕738号,1998/12/7
272,国家税务总局关于“长江学者奖励计划”有关个人收入免征个人所得税的通知,国税函〔1998〕632号,1998/10/27
273,国家税务总局关于生活补助费范围确定问题的通知,国税发〔1998〕155号,1998/9/25
274,国家税务总局关于未分配的投资者收益和个人人寿保险收入征收个人所得税问题的批复,国税函〔1998〕546号,1998/9/16
275,国家税务总局关于印发《境外所得个人所得税征收管理暂行办法》的通知,国税发〔1998〕126号,1998/8/12
276,财政部 国家税务总局关于证券投资基金税收问题的通知,财税字〔1998〕55号,1998/8/6
277,财政部 国家税务总局关于对中国科学院中国工程院资深院士津贴免征个人所得税的通知,财税字〔1998〕118号,1998/7/2
278,国家税务总局关于盈余公积金转增注册资本征收个人所得税问题的批复,国税函〔1998〕333号,1998/6/4
279,国家税务总局关于原城市信用社在转制为城市合作银行过程中个人股增值所得应纳个人所得税的批复,国税函〔1998〕289号,1998/5/15
280,财政部 国家税务总局关于个人取得体育彩票中奖所得征免个人所得税问题的通知,财税字〔1998〕12号,1998/4/27
281,财政部 国家税务总局关于个人转让股票所得继续暂免征收个人所得税的通知,财税字〔1998〕61号,1998/3/30
282,国家税务总局关于保险企业营销员（非雇员）取得的收入计征个人所得税问题的通知,国税发〔1998〕13号,1998/1/23
283,国家税务总局关于个人认购股票等有价证券而从雇主取得折扣或补贴收入有关征收个人所得税问题的通知,国税发〔1998〕9号,1998/1/20
284,国家税务总局关于股份制企业转增股本和派发红股征免个人所得税的通知,国税发〔1997〕198号,1997/12/25
285,国家税务总局关于个人从事医疗服务活动征收个人所得税问题的通知,国税发〔1997〕178号,1997/11/25
286,财政部 国家税务总局关于住房公积金医疗保险金、养老保险金征收个人所得税问题的通知,财税字〔1997〕144号,1997/11/7
287,财政部 国家税务总局关于个人提供非有形商品推销、代理等服务活动取得收入征收营业税和个人所得税有关问题的通知,财税字〔1997〕103号,1997/7/21
288,国家税务总局关于进一步强化个人所得税征收管理的通知,国税发〔1997〕62号,1997/4/17
289,国家税务总局关于外籍个人取得有关补贴征免个人所得税执行问题的通知,国税发〔1997〕54号,1997/4/9
290,国家税务总局关于印发《个体工商户个人所得税计税办法（试行）》的通知,国税发〔1997〕43号,1997/3/26
291,财政部 国家税务总局关于国际青少年消除贫困奖免征个人所得税的通知,财税字〔1997〕51号,1997/3/21
292,国家税务总局关于外商投资企业的董事担任直接管理职务征收个人所得税问题的通知,国税发〔1996〕214号,1996/11/21
293,国家税务总局关于个人举办各类学习班取得的收入征收个人所得税问题的批复,国税函〔1996〕658号,1996/11/13
294,国家税务总局关于雇主为其雇员负担个人所得税税款计征问题的通知,国税发〔1996〕199号,1996/11/8
295,财政部 国家税务总局关于体育彩票发行收入税收问题的通知,财税字〔1996〕77号,1996/11/7
296,国家税务总局关于明确单位或个人为纳税义务人的劳务报酬所得代付税款计算公式的通知,国税发〔1996〕161号,1996/9/17
297,国家税务总局关于个人所得税偷税案件查处中有关问题的补充通知,国税函〔1996〕602号,1996/9/17
298,国家税务总局关于印发《广告市场个人所得税征收管理暂行办法》的通知,国税发〔1996〕148号,1996/8/29
299,国家税务总局关于印发《建筑安装业个人所得税征收管理暂行办法》的通知,国税发〔1996〕127号,1996/7/22
300,国家税务总局关于世界银行、联合国直接派遣来华工作的专家享受免征个人所得税有关问题的通知,国税函〔1996〕417号,1996/7/3
301,国家税务总局关于个人在境外取得博彩所得征收个人所得税问题的批复,国税函发〔1995〕663号,1995/12/25
302,国家税务总局 文化部关于印发《演出市场个人所得税征收管理暂行办法》的通知,国税发〔1995〕171号,1995/11/18
303,国家税务总局关于新疆航空公司空勤人员飞行小时费和伙食费收入征收个人所得税的批复,国税函发〔1995〕554号,1995/10/10
304,财政部 国家税务总局关于民航空地勤人员的伙食费征收个人所得税的通知,财税字〔1995〕77号,1995/10/5
305,财政部 国家税务总局关于误餐补助范围确定问题的通知,财税字〔1995〕82号,1995/8/21
306,财政部 国家税务总局关于发给见义勇为者的奖金免征个人所得税问题的通知,财税字〔1995〕25号,1995/8/20
307,国家税务总局关于对中国科学院院士荣誉奖金征收个人所得税问题的复函,国税函发〔1995〕351号,1995/6/29
308,国家税务总局关于印发《个人所得税代扣代缴暂行办法》的通知,国税发〔1995〕65号,1995/4/6
309,国家税务总局关于在中国境内无住所的个人计算缴纳个人所得税若干具体问题的通知,国税函发〔1995〕125号,1995/3/23
310,国家税务总局关于印发《机动出租车驾驶员个人所得税征收管理暂行办法》的通知,国税发〔1995〕50号,1995/3/14
311,国家税务总局关于有奖储蓄中奖收入征收个人所得税问题的批复,国税函发〔1995〕98号,1995/3/13
312,国家税务总局关于个人对企事业单位实行承包经营、承租经营取得所得征税问题的通知,国税发〔1994〕179号,1994/8/1
313,国家税务总局关于外籍个人持有中国境内上市公司股票所取得的股息有关税收问题的函,国税函发〔1994〕440号,1994/7/26
314,国家税务总局关于曾宪梓教育基金会教师奖免征个人所得税的函,国税函发〔1994〕376号,1994/6/29
315,国家税务总局关于社会福利有奖募捐发行收入税收问题的通知,国税发〔1994〕127号,1994/5/23
316,国家税务总局 海洋石油税务管理局关于中国海洋石油总公司取得的服务收入征税问题的通知,国税油发〔1994〕11号,1994/5/16
317,财政部 国家税务总局关于个人所得税若干政策问题的通知,财税字〔1994〕20号,1994/5/13
318,国家税务总局关于境外团体或个人在我国从事文艺及体育演出有关税收问题的通知,国税发〔1994〕106号,1994/4/21
319,国家税务总局关于印发《征收个人所得税若干问题的规定》的通知,国税发〔1994〕89号,1994/3/31
320,国家税务局关于外籍人员×××先生的工资、薪金含有假设房租，如何计征个人所得税问题的函,（1989）国税外字第52号,1989/3/11
321,财政部税务总局关于对外籍职员的在华住房费准予扣除计算纳税的通知,（1988）财税外字第21号,1988/1/20
322,财政部税务总局关于对外国承包商派雇员来中国从事承包作业的工资、薪金收入征收个人所得税问题的通知,（1984）财税外字第14号,1984/1/18
